name,month,year,temp,humid,precip,wind_speed,sunshine,ndvi,gndvi,ndmi,savi,ndre,area,yield
rahim_yar_khan,11,2016,23.96,17.56666667,0,12.16666667,10.73944444,0.134579954,0.167371267,-0.082058236,0.201839208,0.094217837,279.2,3.415938395
rahim_yar_khan,12,2016,20.45806452,23.16129032,0,12.47741935,10.36397849,0.37388886,0.308505287,0.247168668,0.560760426,0.285885455,279.2,3.415938395
rahim_yar_khan,1,2017,15.66774194,40.16129032,6.5,14.85483871,10.56505376,0.645803187,0.53032737,0.421421098,0.968598187,0.527883573,279.2,3.415938395
rahim_yar_khan,2,2017,20.39642857,21.35714286,3.5,13.92142857,11.19285714,0.688289211,0.581882019,0.425884457,1.032321634,0.572177596,279.2,3.415938395
rahim_yar_khan,3,2017,25.32580645,20.87096774,1.5,15.29677419,12.00591398,0.327775005,0.324509219,0.15251326,0.491592978,0.235192768,279.2,3.415938395
rahim_yar_khan,4,2017,33.14,14.73333333,2,15.81,12.85611111,0.113098685,0.196580162,-0.082558628,0.169629606,0.082560541,279.2,3.415938395
rahim_yar_khan,11,2017,23.24333333,20.26666667,3.7,11.25,10.745,0.107151219,0.116744477,-0.095325842,0.160702839,0.079369029,275.2,2.970784884
rahim_yar_khan,12,2017,18.17419355,22.58064516,8.5,11.53870968,10.36451613,0.380618555,0.294354951,0.163058966,0.570838333,0.26766445,275.2,2.970784884
rahim_yar_khan,1,2018,17.96129032,18,0,12.69677419,10.56182796,0.625993775,0.513609304,0.410501848,0.938883878,0.500943178,275.2,2.970784884
rahim_yar_khan,2,2018,20.85357143,24.67857143,0,16.07857143,11.18690476,0.608170506,0.514310597,0.398428429,0.912151095,0.519531291,275.2,2.970784884
rahim_yar_khan,3,2018,27.52258065,18.83870968,0.3,16.07419355,11.99946237,0.442091099,0.385330709,0.252176573,0.663045585,0.352179173,275.2,2.970784884
rahim_yar_khan,4,2018,33.04333333,14,5.4,17.70333333,12.85111111,0.133177852,0.218750179,-0.049941935,0.199743983,0.098466722,275.2,2.970784884
rahim_yar_khan,11,2018,24.19,18.86666667,0,13.36666667,10.74888889,0.117887402,0.134958826,-0.053816222,0.17680637,0.093186266,322.1,3.183607575
